"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"2009M01",82684,14252,7532,6300,9128,37968,6692,20916,242900
"2009M02",87538,12075,9890,5060,9545,42481,7498,25553,255300
"2009M03",88080,11640,10512,5472,6168,27288,5520,20352,225672
"2009M04",90508,10670,6072,3806,3652,17930,3212,14388,195140
"2009M05",67446,5616,3528,2826,1944,10602,2160,10836,140958
"2009M06",70884,2556,2340,3114,1548,8658,1782,12348,134532
"2009M07",93173,4140,3726,5152,3450,11914,2599,13478,175536
"2009M08",88347,4578,5586,4200,2583,10353,2247,10752,160293
"2009M09",94962,6342,6258,3045,3255,10542,2058,10038,171402
"2009M10",87676,7636,6072,3933,5313,16629,3243,13984,186254
"2009M11",84502,11063,8027,4370,8096,24518,4922,18768,219696
"2009M12",146880,11691,8883,5643,9882,39555,6723,26379,339849
"2010M01",95700,9425,8700,8178,10092,37758,6989,20967,255345
"2010M02",91275,16975,9975,5275,9650,40475,7250,25300,266150
"2010M03",105534,9828,10452,7852,6552,26442,5512,19214,241826
"2010M04",90888,10272,5328,5136,2808,14184,3192,12288,187320
"2010M05",64300,7740,5340,4300,1820,9040,2260,11520,140860
"2010M06",76200,5500,5240,4160,1520,7520,1620,11320,145040
"2010M07",94776,8040,6480,5952,3432,9552,2496,11712,182232
"2010M08",87956,9746,7876,4708,2596,8778,2178,11044,167486
"2010M09",96074,7480,5500,4290,3344,8580,2112,9658,173074
"2010M10",81200,8650,6175,5425,5500,14850,3700,13350,183575
"2010M11",84625,14875,8375,6175,8025,21175,5050,19150,225100
"2010M12",151351,14181,8294,5858,9309,35960,6583,24186,342751
"2011M01",97440,14550,9570,8700,10140,34290,7290,20790,265020
"2011M02",93600,18000,10425,5475,9875,36350,7500,25500,267500
"2011M03",93630,10530,6780,4860,5940,19620,5160,19440,214800
"2011M04",99000,10296,2544,2640,3456,17088,2880,12840,197184
"2011M05",66720,8560,2440,2860,1900,7720,2120,10260,140280
"2011M06",64820,6740,4100,2780,1720,6080,1340,10220,130820
"2011M07",91664,9696,4368,4928,3184,8416,2336,10224,175456
"2011M08",92752,11504,6544,3728,2816,9136,1968,8848,175632
"2011M09",105792,8048,4784,2672,3168,19456,3696,10464,219008
"2011M10",98448,10624,3728,3600,5024,17648,3552,13600,215488
"2011M11",91056,18560,5840,4528,7488,20000,4704,17856,229712
"2011M12",161504,18416,7840,6016,9008,34512,6608,24672,363296
"2012M01",98976,23344,6544,7648,9616,29872,6768,20848,266320
"2012M02",95568,15280,8112,5696,9840,32160,7696,24688,258384
"2012M03",102016,19200,8208,5456,6272,20064,5488,19536,239280
"2012M04",92160,18192,4416,3648,3072,11152,3056,12448,195056
"2012M05",64688,12928,2992,3024,1792,6304,1888,9568,140272
"2012M06",80672,9696,3696,2896,1712,5728,1536,10064,150496
"2012M07",92000,12112,6048,4240,2800,6784,2048,9744,172704
"2012M08",95552,14368,7856,3040,2544,6720,1824,8368,177504
"2012M09",99744,14048,3744,2848,3376,7440,2000,8720,178272
"2012M10",81712,15344,4480,4048,5456,12800,3456,12560,183440
"2012M11",93328,21824,6032,4672,7168,17824,4288,16640,231104
"2012M12",159376,20688,9952,5680,10128,32800,6400,24496,361952
"2013M01",101136,18768,7120,7536,9200,27504,6672,24304,259424
"2013M02",95424,31536,9520,4080,10272,31184,7840,26896,279920
"2013M03",114944,20736,9616,5200,7280,23232,6064,24224,269664
"2013M04",92928,24784,4496,3808,3248,10720,2768,12432,200304
"2013M05",72640,16832,3248,2656,1920,6320,2032,10144,152384
"2013M06",85072,11680,2848,2896,1648,5680,1568,10928,159120
"2013M07",97152,15168,5312,3808,3040,8256,1840,10864,183744
"2013M08",100064,17776,7312,2912,2784,7440,1904,8832,188848
"2013M09",101936,21200,4384,3504,3952,7120,2128,9152,190960
"2013M10",89648,13568,4896,4224,6048,12096,3136,13248,194368
"2013M11",100304,18384,6368,4832,8864,18464,5472,21360,250096
"2013M12",166768,18496,9440,5536,11552,33616,6768,29040,381584
"2014M01",109568,30128,6912,8080,11088,30560,6688,23504,291984
"2014M02",105552,28496,9472,5376,12336,32880,8000,31632,300560
"2014M03",99520,23200,8656,5312,7744,18720,5872,26528,253376
"2014M04",107696,24448,4192,3696,4560,13136,2880,14048,223936
"2014M05",72880,17040,4528,3184,2336,6432,2080,12048,161152
"2014M06",84720,12592,4048,2608,1504,5664,1664,11456,162016
"2014M07",101152,18144,6816,3904,3008,7904,1904,10832,196736
"2014M08",98784,19936,7984,3200,3104,7088,2032,9584,188784
"2014M09",102976,18368,4864,3520,4096,7536,2064,10400,192752
"2014M10",94016,19552,5968,4400,6656,12240,3328,15312,210224
"2014M11",102688,27184,7536,5456,9360,18480,5328,24464,269888
"2014M12",168208,25776,10160,6752,13120,33776,6960,30704,402112
"2015M01",119344,25680,7472,10112,11392,31536,6496,24560,302352
"2015M02",107264,55968,9488,6000,13008,33472,8768,36672,343120
"2015M03",113424,30864,10336,6352,9008,22496,5936,26880,291328
"2015M04",107984,31024,5280,4416,4016,11472,3424,16864,237616
"2015M05",76592,24704,4400,3584,2336,6608,2480,13280,176672
"2015M06",93200,16176,4128,2912,1984,5472,1792,13792,176448
"2015M07",105712,20016,6400,3936,3152,8576,2352,12720,207952
"2015M08",102864,25120,7952,3296,3296,7584,2320,10624,202720
"2015M09",113088,25840,6080,3200,4320,7248,2496,11440,216656
"2015M10",99888,27040,6272,5264,7296,12048,3216,15664,229376
"2015M11",110048,36736,8144,6880,10688,19824,6016,26752,300384
"2015M12",177392,36736,11376,9040,14048,37616,7056,33856,444688
"2016M01",122608,40848,8832,12752,13328,35184,7488,28992,343488
"2016M02",122064,53152,11360,8800,15600,37120,9440,37056,373296
"2016M03",133296,40448,11120,7328,10432,25040,7152,32752,344304
"2016M04",103792,43392,6448,5952,4400,10960,3600,17248,256752
"2016M05",77216,29024,5552,4864,2672,6368,2496,14448,193824
"2016M06",97472,18576,4672,3776,2000,6240,1840,15984,196256
"2016M07",112384,26240,6944,5504,3440,8960,2544,17184,237824
"2016M08",106112,26128,9392,4368,3408,7888,2528,14896,220592
"2016M09",122160,27184,6496,5328,4992,8240,2752,15152,243936
"2016M10",105664,29360,6976,5840,8608,13616,4368,20688,260720
"2016M11",112752,38752,10144,8752,11808,20400,7264,33888,331424
"2016M12",193680,35904,12800,9120,16160,40960,8288,43104,491920
"2017M01",127760,54096,9104,12592,15952,35344,7952,34240,379120
"2017M02",123408,33728,11760,8768,17760,40400,11712,47552,378560
"2017M03",123856,42000,12032,7584,11408,23408,7920,38432,342800
"2017M04",130624,39296,6144,6512,6240,16064,6176,24880,310736
"2017M05",86384,27568,5152,5008,2736,7552,2624,16960,208576
"2017M06",105840,17744,4176,3968,2032,21552,1856,18496,229536
"2017M07",118432,29360,6800,6000,3328,11056,2448,15312,246656
"2017M08",111312,29232,10240,4688,3232,7808,2384,12736,233632
"2017M09",126912,30704,6336,6688,4864,7872,2384,13232,252432
"2017M10",102544,33040,6864,8928,9584,13920,4432,21664,269808
"2017M11",123392,41808,10496,9312,11872,22784,7808,38272,359296
"2017M12",191696,39296,12944,11120,15856,41504,9584,48352,512192
"2018M01",131072,37280,9312,14016,15872,37152,9184,38080,378336
"2018M02",123008,68928,11984,8560,15824,39456,12816,51248,422960
"2018M03",144176,43440,11968,9136,11424,28112,8448,40912,387952
"2018M04",109824,46464,5952,6432,4816,12656,4320,22320,283520
"2018M05",90096,30544,4144,5024,2832,7008,2816,17056,221488
"2018M06",98784,18928,4016,3840,2000,5856,2016,18096,211856
"2018M07",121984,29264,7168,5456,3616,8304,2688,16224,250032
"2018M08",114432,31536,9984,4640,3024,8384,2608,13648,246112
"2018M09",123456,32416,6592,5360,4736,8304,2592,14992,257520
"2018M10",112480,31440,6720,6720,9088,14640,4928,24784,282896
"2018M11",131245,39948,9092,8839,12242,23624,8848,41429,385789
"2018M12",193984,38001,12852,9830,16613,43670,9997,53285,529255
"2019M01",138885,43858,8187,13700,14989,36408,9436,40083,399346
"2019M02",124243,50861,11677,10385,16642,37785,12565,51864,417934
"2019M03",131587,41063,12916,8737,11509,23668,9887,48613,378270
"2019M04",130807,36610,6983,5380,5190,16162,4675,23900,307409
"2019M05",90848,27782,3803,4344,2244,6918,2856,18154,219331
"2019M06",100648,18334,3767,3927,1924,5922,2546,19996,213536
"2019M07",123874,28290,6977,5294,3395,8586,2682,17213,255585
"2019M08",120235,29327,9503,4460,2905,8020,2609,14579,251131
"2019M09",131361,27523,5333,4992,4135,8329,2775,15593,261770
"2019M10",119498,27831,6250,5944,8070,15092,4325,22078,283834
"2019M11",129636,38820,9083,9386,11412,22658,7804,39251,372108
"2019M12",196366,36842,13203,11932,15635,42164,10877,56634,528219
"2020M01",143364,50316,9064,14159,13624,35267,10292,42591,410778
"2020M02",132459,5004,12940,10991,15983,38449,13540,52277,372745
"2020M03",72156,1466,3420,851,6550,15535,6110,25363,175521
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Data is derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values."
"Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months."
"For arrival series, the country of residence is the country where a person last lived for 12 months or more (country of last permanent residence)."
"The United Kingdom also includes the Channel Islands and the Isle of Man."
"Cruise passengers have only been collected separately since September 1997."
"Cruise passengers are only recorded as arrivals or departures if they begin or end their cruise in New Zealand. Otherwise, they are regarded as being in transit, even if they leave the ship for periods while it is in New Zealand."
"For detailed metadata about countries used in International Travel and Migration statistics, see DataInfo+. http://ow.ly/Mm9ba"
"Imputation of 'country of residence' for visitor arrivals who have not stated a response on their arrival card, occurred from August 2016 to October 2018."
"Observed changes in travel from a country may be partly due to these methodology changes."
"From November 2018, 'country of residence' was fully captured and no longer sampled, resulting in an increase in the 'not stated' category."
"From December 2019 country of residence remains fully captured, but is imputed for visitor arrivals who have not stated a response on their arrival card"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM115AA"
""
"Last updated:"
"14 May 2020 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
